2016-09-14 05:13:25 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-14 05:13:25 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:13:25 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:13:25 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-14 05:13:29 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-14 05:13:29 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:13:29 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:13:29 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-14 05:14:49 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-14 05:14:49 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:14:49 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:14:49 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-14 05:17:23 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-14 05:17:23 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:17:23 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:17:23 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-14 05:35:46 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-14 05:35:46 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:35:46 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-14 05:35:46 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 18:30:02 Notice: Notice (8): Undefined variable: data in [/app/src/Shell/scrapShell.php, line 26]
Trace:
